ItemDescr,Brand,Content,UOM,Weight,PackagingType,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice
Ah ontbijt smoothie haver yoghurt aardbe 250 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Ah pangasiusreepje pep&zt 250 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Ah smoot mango ban 500 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Ah toastzalm 130 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Almhof Milde roomyoghurt spaanse sinaasappel 500 gram,22,22,22,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Almhof Roomyoghurt walnoot-griekse honing 150 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Alpro soya dr macchiato 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Alpro soya drink banana 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Appelsientje AS multivitamientje exotisch fruit 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Appelsientje Sinaasappel 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Baltussen Rolmops 450 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Baltussen Rolmops in saus 450 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
BioToday Flatbread sticks garlic - bio 130 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Campina Biologische karnemelk 500ml 500 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Campina Camp chocolade vla 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Campina Dubbelvla aardbei/vanille 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Capri-Sun Orange drink pouch 10x0.2 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Coca cola zero 12bl 12x0.15 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Coca-Cola Original 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Coca-Cola Original fles 0.375 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
"Coca-cola fl uit 4pk 1,25LT",10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Coca-cola vanilla bl 0.33 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
CoolBest CB  Mango Dream 1L PK DS12 v1 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Danone Danio stracciatella romige kwark 450 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
De Zaanse Hoeve Yoghurt aardbei 1000 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Den Eelder Echte halfvolle boerenmelk 1LT,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Douwe Egberts Ice coffee mocha latte 0.25 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Dr. Oetker Wolkent. Karamel 125 gram,21,21,21,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Dream Oat dream haver gv bio 1000 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Dubbeldrank Sinaasapl Perzik 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Fanta orange bl 0.33 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Garden Gourmet Caprese carremet cherry tom en mozzarell 160 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Garden Gourmet Oosterse wokblokjes 175 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Garden Gourmet Vegetarische schnitzel 180 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Guarana Guarana can 0.33 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Icelandic Glacial 500 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Karvan Cevitam 0% Citrus mix 750 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Melkunie fruitvla rum/rozijnen 1Lpak 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
MinusL Griekse stijl yoghurt 400 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
O2 Life lemon-grapefruit pet 0.75 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
O2 Life orange-citrus 0.75 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Optimel Variaties drink kokos 0 % 1000 milliliter,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
Quorn Sate stukjes 300 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Qwensh Drinkfles 1 stuk,22,22,22,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Red Bull Energy 250 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Redbull winter edit 250 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Roosvicee Multivit Bosvruchten 6pk 1.2 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Royal club tonic classic 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Smaakt Granola granen-noten 350g - bio 350 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Sourcy Vitaminwater limoen 0.5 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Spa Duo lime ginger 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Spa Touch blackcurrant 0.5 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Starbucks double sh 200 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
The Gutsy Captain California raspberry 400 milliliter,21,21,21,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Valess Rookworst 160 gram,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Vivera Krokante schnitzel 200 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
Zespri kiwi gold vvp 1kg 1000 gram,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Zuivelhoeve Boer'n yoghurt naturel 800 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
