ItemDescr,Content,Weight,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
Ah pangasiusreepje pep&zt 250 gram,250.0,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.02203718392541298,0.019573474292705794,3.328333333333333,13.313333333333333
Ah smoot mango ban 500 milliliter,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.05445922717581505,0.040449148738378515,2.4220833333333336,4.844166666666667
Ah toastzalm 130 gram,130.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.025782110799289253,0.03895587929130987,5.0424999999999995,38.78846153846154
Almhof Milde roomyoghurt spaanse sinaasappel 500 gram,500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201851.5,0.045556798710759176,0.04720737807223599,1.4227272727272728,2.8454545454545457
Almhof Roomyoghurt walnoot-griekse honing 150 gram,150.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.01247671655498065,0.006763455912074598,0.7312500000000001,4.875
Alpro soya dr macchiato 1 liter,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0045487890667860265,0.00718723039450932,1.9654166666666664,1.9654166666666664
Alpro soya drink banana 1 liter,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.00841733565619357,0.01168230203383975,1.7141666666666666,1.7141666666666666
Appelsientje AS multivitamientje exotisch fruit 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.00985714895556371,0.00785618769105585,1.4016666666666666,1.4016666666666666
Appelsientje Sinaasappel 1 liter,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0889832847113798,0.0744046170234088,1.5925,1.5925
Baltussen Rolmops 450 gram,450.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,2.7299159185968017e-05,2.458014197334383e-05,2.8716666666666666,6.381481481481482
