,Brand,ItemDescr,Content,UOM,Weight,PackagingType,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
88,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201908.0,0.0720081531816648,0.0554190151935629,0.98,3.92
89,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201909.0,0.0702072772898368,0.0565846093371346,0.98,3.92
90,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201910.0,0.0818039316885718,0.0645065296989847,0.98,3.92
91,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201911.0,0.0814892367929657,0.0658955690160432,0.98,3.92
92,AH,AH Slagroom 250 gram,250.0,GR,,spuitbus,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,201912.0,0.127491612780608,0.0980590873621728,0.98,3.92
93,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201801.0,4.19781754442007e-05,3.83047625740816e-05,2.87,6.377777777777778
94,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201802.0,6.3533208808244e-05,5.78534431933422e-05,2.87,6.377777777777778
95,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201803.0,1.97593851969499e-05,1.87226160686793e-05,2.87,6.377777777777778
96,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201804.0,2.5467740522435e-05,2.21114674271959e-05,2.87,6.377777777777778
97,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201805.0,2.64540370228809e-05,2.1686483327825e-05,2.87,6.377777777777778
98,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201806.0,2.21065313746946e-05,2.06532261562917e-05,2.87,6.377777777777778
99,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201807.0,2.52706326818774e-05,2.00406796190236e-05,2.87,6.377777777777778
100,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201808.0,2.43892164188204e-05,2.02963662847578e-05,2.87,6.377777777777778
101,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201809.0,1.6779544057839e-05,1.60117445193469e-05,2.87,6.377777777777778
102,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201810.0,3.69079872344499e-05,3.24097257552743e-05,2.87,6.377777777777778
103,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201811.0,2.67317204535283e-05,2.40482391151361e-05,2.87,6.377777777777778
104,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201812.0,2.1758233736773e-05,2.07523049628563e-05,2.87,6.377777777777778
105,Baltussen,Baltussen Rolmops 450 gram,450.0,GR,,pot,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,201901.0,3.39556539159857e-05,3.19877597732548e-05,2.87,6.377777777777778
