,,Content,Content,Content,Content,Content,Content,Content,Content,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruits,201811.0,28.0,323.60714285714283,272.89396791586967,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.03571428571428565,0.05466928821652671,1.98661682465788e-06,1.324411216438591e-05,0.00727797073713417,0.05069713695405282,0.194391118498382,28.0,0.03571428571428563,0.06529328052436183,8.41828448290047e-07,2.12912427833232e-05,0.006050790285285395,0.03693092494642443,0.272423556316916,28.0,2.866071428571428,1.428374728521674,1.12,1.99,2.39,3.04,7.49
Fruits,201812.0,26.0,329.2307692307692,273.8399616845295,1.0,160.0,250.0,500.0,1000.0,0.0,,,,,,,,26.0,0.038461538461538346,0.04907585708246242,3.94353955547633e-07,0.00025366818190601496,0.01117204756066442,0.06439731082150625,0.158669891430412,26.0,0.03846153846153838,0.05899547703377937,4.74013679860822e-07,0.0004450889237247707,0.007694564173973189,0.03702245173631173,0.192656912307256,26.0,3.007307692307692,1.8508842377465051,1.12,2.04,2.4400000000000004,3.065,9.99
Fruits,201901.0,27.0,317.0740740740741,275.8520612332083,1.0,77.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.037037037037036945,0.05438784413340037,7.64960524212148e-07,1.376928943581866e-05,0.0119723971644443,0.04141458030058355,0.194151570808188,27.0,0.03703703703703693,0.06117491323324328,1.63625092226661e-07,1.685747440738165e-05,0.00848468880340072,0.031978720674745054,0.21641961997158,27.0,2.9248148148148148,1.4718443959624012,1.12,2.05,2.46,3.125,7.7
Fruits,201902.0,29.0,329.6896551724138,269.97101080463597,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,29.0,0.03448275862068955,0.04831931336295618,6.60235532423836e-07,5.94211979181453e-06,0.00560738037687564,0.0615623417497958,0.157587657821051,29.0,0.034482758620689585,0.05813831420910075,4.34347931824523e-07,5.10358778902656e-06,0.00611988735352561,0.0454815715025351,0.201707064977003,29.0,2.944137931034482,1.4303708740877041,1.12,2.05,2.56,3.07,7.79
Fruits,201903.0,25.0,302.28,242.26178505905546,1.0,150.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.039999999999999904,0.05631723350454645,5.25499329462855e-07,7.88248994194283e-06,0.00621613156821611,0.0682844338690623,0.178196822620854,25.0,0.03999999999999992,0.0635590725641225,1.18099939995921e-07,7.85561385908754e-06,0.00633493765638207,0.0514267093075883,0.226459835279862,25.0,2.9956,1.4253452213411317,1.85,2.05,2.45,3.19,7.29
Fruits,201904.0,25.0,322.24,236.9020595801846,1.0,190.0,250.0,500.0,1000.0,0.0,,,,,,,,25.0,0.03999999999999993,0.06154014692915155,4.10984463965293e-07,2.87689124775705e-06,0.00338815592092987,0.0614364235803158,0.2456334955626,25.0,0.03999999999999992,0.07198133667710561,1.00007180392138e-07,3.58192362415656e-06,0.00409290873238604,0.0355480776143482,0.270973785104144,25.0,3.022,1.4080571721347115,1.85,2.25,2.56,3.07,7.29
Fruits,201905.0,26.0,348.40384615384613,267.3503326809514,1.0,200.0,290.0,500.0,1000.0,0.0,,,,,,,,26.0,0.038461538461538367,0.06505706673469168,1.04453478509741e-06,2.08906957019482e-05,0.0044606857997584945,0.0519973333026936,0.282070351506845,26.0,0.03846153846153842,0.08412762453814461,7.18209299182907e-07,2.0362547768492124e-05,0.004330167229845445,0.023316983006752577,0.398190143627543,26.0,3.007307692307692,1.4188912789704717,1.12,2.26,2.5250000000000004,3.2350000000000003,7.29
Fruits,201906.0,28.0,341.4107142857143,267.3052442146545,1.0,180.0,290.0,500.0,1000.0,0.0,,,,,,,,28.0,0.03571428571428561,0.05190913905855683,1.09410387422181e-06,1.9010054814604047e-05,0.00483046860468932,0.04965549404260433,0.151695861005043,28.0,0.035714285714285636,0.05643538463161782,5.12788607037937e-07,1.9688410516331674e-05,0.006081387387251775,0.03990666457970012,0.190677220293236,28.0,2.870357142857143,1.2507523132924236,1.12,2.25,2.47,3.125,7.2
Fruits,201907.0,28.0,341.42857142857144,267.28167671764317,1.0,180.0,290.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035714285714285685,0.04997659927415106,1.54209257335927e-06,1.0987409585184779e-05,0.005503728394319235,0.060704281388715996,0.164250593127356,28.0,0.03571428571428562,0.05407676200846969,1.2289823946877e-06,1.6805585454567e-05,0.006974469243365115,0.047669018553676674,0.209741143795439,28.0,2.8403571428571426,1.246115392501261,1.12,2.235,2.47,3.07,7.2
Fruits,201908.0,27.0,354.037037037037,263.7512277013325,1.0,210.0,330.0,500.0,1000.0,0.0,,,,,,,,27.0,0.03703703703703693,0.06309252766477699,6.20342006955274e-07,1.0235643114761995e-05,0.00425988856176187,0.0491881584154976,0.268418884699512,27.0,0.03703703703703691,0.07648863443684395,4.20928496360485e-07,1.2521083104059188e-05,0.00418535787217582,0.034952736931326,0.357887798733079,27.0,2.895555555555555,1.279096235428429,1.12,2.25,2.49,3.07,7.2
