;ItemDescr;Category;Biological;PrivateLabel;..;Sustainable;Halal;QuantityCE;SalesGoodsEUR;PriceAdjusted
1842;Den Eelder Echte halfvolle boerenmelk 1LT;Dairy;FALSE;FALSE;;FALSE;FALSE;0.0001680773320496648;0.00015261006155287612;1.12
920;Douwe Egberts Ice coffee mocha latte 0.25 liter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.0056306782234545666;0.005220439456060833;47.283.333.333.333.300
1040;Dr. Oetker Wolkent. Karamel 125 gram;Dairy;FALSE;FALSE;;FALSE;FALSE;0.04142152727811493;0.017299719671023624;452.952.380.952.381
2548;Dream Oat dream haver gv bio 1000 milliliter;Dairy;TRUE;FALSE;;FALSE;FALSE;0.005445306084393112;0.008569889168978058;2.22
1323;Dubbeldrank Sinaasapl Perzik 1 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.07812209463428386;0.06167334061953884;14.008.333.333.333.300
0;Fanta orange bl 0.33 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.05727217688066735;0.025749184630883885;19.671.717.171.717.100
1914;Garden Gourmet Caprese carremet cherry tom en mozzarell 160 gram;Meat;FALSE;FALSE;;FALSE;FALSE;0.01037906137544214;0.008308594757141767;18.000.000.000.000.000
760;Garden Gourmet Oosterse wokblokjes 175 gram;Meat;FALSE;FALSE;;TRUE;FALSE;0.020336063817331117;0.016931080921249977;15.647.619.047.619.000
2687;Garden Gourmet Vegetarische schnitzel 180 gram;Meat;FALSE;FALSE;;TRUE;FALSE;0.022048520292514664;0.016605816833082102;13.680.555.555.555.500
1775;Guarana Guarana can 0.33 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.0067490158513548405;0.004951558159593379;30.454.545.454.545.400
2292;Icelandic Glacial 500 milliliter;Soda;FALSE;FALSE;;FALSE;FALSE;0.008170550137037458;0.006068020045998858;20.100.000.000.000.000
1799;Karvan Cevitam 0% Citrus mix 750 milliliter;Soda;FALSE;FALSE;;FALSE;FALSE;0.00456924468788024;0.008604024935744406;39.911.111.111.111.100
1443;Melkunie fruitvla rum/rozijnen 1Lpak 1 liter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.022545993493660214;0.03132837400148907;186.625
2220;MinusL Griekse stijl yoghurt 400 gram;Dairy;FALSE;FALSE;;FALSE;FALSE;1,98E+10;2,60E+10;3.975
1371;O2 Life lemon-grapefruit pet 0.75 liter;Soda;FALSE;FALSE;;FALSE;FALSE;6,72E+10;6,16E+10;1.72
1347;O2 Life orange-citrus 0.75 liter;Soda;FALSE;FALSE;;FALSE;FALSE;4,78E+10;4,35E+11;1.72
1276;Optimel Variaties drink kokos 0 % 1000 milliliter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.009623622434310402;0.009126793026960596;13.908.695.652.173.900
282;Quorn Sate stukjes 300 gram;Meat;FALSE;FALSE;;TRUE;FALSE;0.01521196213714506;0.013534561008770025;10.25
2644;Qwensh Drinkfles 1 stuk;Soda;FALSE;FALSE;;FALSE;FALSE;0.00034375483992497407;0.0017434465764542585;9.99
522;Red Bull Energy 250 milliliter;Soda;FALSE;FALSE;;FALSE;FALSE;0.2206600625025348;0.24686111825306825;6.239.999.999.999.990
1228;Redbull winter edit 250 milliliter;Soda;FALSE;FALSE;;FALSE;FALSE;0.003862870206295666;0.003489232494274764;5.706.666.666.666.660
1962;Roosvicee Multivit Bosvruchten 6pk 1.2 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.009423702912601497;0.01245736017609661;16.534.722.222.222.200
808;Royal club tonic classic 1 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.09057189917798092;0.08987344184286851;153.875
2572;Smaakt Granola granen-noten 350g - bio 350 gram;Meat;TRUE;FALSE;;TRUE;FALSE;0.00014847530670409064;0.00013186613010872435;8.371.428.571.428.570
1016;Sourcy Vitaminwater limoen 0.5 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.0043518472635537325;0.0039761473117075835;2.769.166.666.666.660
1132;Spa Duo lime ginger 1 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.00931658271574676;0.008809836270198624;15.883.333.333.333.300
2316;Spa Touch blackcurrant 0.5 liter;Soda;FALSE;FALSE;;FALSE;FALSE;0.007037677387793521;0.0038113300559997256;14.249.999.999.999.900
1563;Starbucks double sh 200 milliliter;Dairy;FALSE;FALSE;;FALSE;FALSE;0.006895506864866023;0.008746542183329735;8.122.916.666.666.660
2666;The Gutsy Captain California raspberry 400 milliliter;Soda;TRUE;FALSE;;FALSE;FALSE;0.0005563597937106842;0.0007752255526989948;5.021.428.571.428.570
2481;Valess Rookworst 160 gram;Meat;FALSE;FALSE;;FALSE;FALSE;0.008360912327160118;0.007284206602331108;18.378.289.473.684.200
2457;Vivera Krokante schnitzel 200 gram;Meat;FALSE;FALSE;;TRUE;FALSE;0.0159009106111383;0.011925344142808526;12.395.833.333.333.300
1823;Zespri kiwi gold vvp 1kg 1000 gram;Fruits;FALSE;FALSE;;FALSE;FALSE;1,13E+11;2,04E+11;1.12
832;Zuivelhoeve Boer'n yoghurt naturel 800 gram;Dairy;FALSE;FALSE;;FALSE;FALSE;0.012274070520432409;0.01875504995475971;24.739.583.333.333.300
