,,Content,Content,Content,Content,Content,Content,Content,Content,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit en Verse Sappen,201802.0,26.0,329.0769230769231,234.71901040638753,1.0,200.0,290.0,500.0,1000.0,0.0,,,,,,,,26.0,0.038461538461538346,0.0528300386571932,6.52344231613514e-07,5.5775431802955446e-05,0.010192552446845355,0.0547391829910374,0.16278337017991,26.0,0.03846153846153837,0.058912157153650675,7.23430713168566e-07,5.7480683775770446e-05,0.0078797234569365,0.04783870984274635,0.210157466956806,26.0,3.048076923076923,1.5393817440278268,1.69,2.19,2.74,3.265,8.49
Fruit en Verse Sappen,201803.0,26.0,309.88461538461536,240.51346356045465,1.0,160.0,250.0,500.0,1000.0,0.0,,,,,,,,26.0,0.03846153846153835,0.05211687607783928,1.36464744333301e-06,5.24252059480433e-05,0.00514949712741713,0.06665358879533467,0.153414575344459,26.0,0.03846153846153837,0.05990206120159209,3.31812709188884e-07,5.881334011167692e-05,0.003877498673084955,0.04755562764532348,0.215972053143367,26.0,3.0749999999999997,1.529081423600457,1.69,2.215,2.74,3.265,8.39
Fruit en Verse Sappen,201804.0,26.0,309.88461538461536,240.51346356045468,1.0,160.0,250.0,500.0,1000.0,0.0,,,,,,,,26.0,0.03846153846153832,0.051332884209022225,6.34536689863212e-07,6.170869308919743e-05,0.004445564049181665,0.06259783762586825,0.155960234854719,26.0,0.03846153846153835,0.06278544038622942,1.37040631052805e-07,5.4063668027497076e-05,0.003507029529838225,0.041356004862646796,0.229606943125085,26.0,3.0288461538461537,1.5404007969955795,1.69,2.19,2.49,3.14,8.39
Fruit en Verse Sappen,201805.0,27.0,298.55555555555554,243.07866459129474,1.0,77.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.03703655214101464,0.05464849539710406,5.23687704074552e-07,3.822920239744225e-05,0.00298816203944939,0.062437713893696595,0.181784570589174,27.0,0.03703619450032907,0.07046713906699403,2.25139724994188e-07,3.8963242166697204e-05,0.00222783817199203,0.041646150726807496,0.315451952317813,27.0,3.0496296296296297,1.505682777606434,1.69,2.24,2.49,3.09,8.39
Fruit en Verse Sappen,201806.0,28.0,305.75,241.55351757292183,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035713625487229145,0.05709702822534998,5.1350993282263e-07,5.417529791278747e-05,0.004606440852385405,0.048843652657773275,0.209561863055117,28.0,0.0357130665018909,0.056261033780189144,5.79496233176499e-07,5.818268205545913e-05,0.003662821283297025,0.04248063152800565,0.164451039608353,28.0,3.0332142857142856,1.4379487797281563,1.69,2.19,2.74,3.215,7.99
Fruit en Verse Sappen,201807.0,27.0,317.037037037037,238.51193027433843,1.0,170.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.037036128247633526,0.05004754894401564,7.01066111235355e-07,6.27454169555643e-05,0.0127292573817003,0.052405392880954,0.176410667702375,27.0,0.03703529542048921,0.05350086569163823,8.05042709775534e-07,6.357818080887135e-05,0.00786230843325533,0.051203023981124,0.18751567291688,27.0,2.997777777777778,1.2397032316502619,1.69,2.24,2.99,3.24,6.99
Fruit en Verse Sappen,201808.0,28.0,305.75,241.55351757292183,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035713687121577055,0.05142610256149403,8.38029791959104e-07,7.793677065219667e-05,0.012922000377113356,0.0493279001068488,0.177079885189918,28.0,0.03571318159816093,0.05582185348576139,1.85863251329076e-07,7.347019230507915e-05,0.010148004680799148,0.0381097764242844,0.206878233125735,28.0,2.918928571428571,1.2563714338897474,1.69,2.165,2.49,3.04,6.99
Fruit en Verse Sappen,201809.0,28.0,305.75,241.55351757292183,1.0,113.5,250.0,500.0,1000.0,0.0,,,,,,,,28.0,0.035713489428417726,0.0516524486274197,6.37028694320507e-07,6.242881204340963e-05,0.007126121489016345,0.0589872645223431,0.160621052014666,28.0,0.0357127927300226,0.05846359020937435,1.4506730909826e-07,5.8428273895374246e-05,0.007421153759665721,0.04818887303809768,0.217730895595894,28.0,2.9185714285714286,1.2601755147765439,1.69,2.19,2.49,3.04,6.99
Fruit en Verse Sappen,201810.0,26.0,329.1730769230769,234.5799199551271,1.0,200.0,290.0,500.0,1000.0,0.0,,,,,,,,26.0,0.038461061551422156,0.053416432789657395,1.45878388481442e-06,9.299747265691928e-06,0.0169583626609676,0.050952768224769344,0.187267004861397,26.0,0.0384606459542931,0.06543951803878088,3.28259205916164e-07,7.986956353527276e-06,0.010005121480272845,0.055131162331488376,0.279260419882097,26.0,2.9861538461538464,1.3530648969597192,1.69,2.215,2.49,3.14,6.99
Fruit en Verse Sappen,201811.0,27.0,298.55555555555554,243.07866459129474,1.0,77.0,250.0,500.0,1000.0,0.0,,,,,,,,27.0,0.037036497462096946,0.05525259012646829,1.98661682465788e-06,2.5163813112333218e-05,0.00903513331854407,0.05150502779608035,0.194391118498382,27.0,0.03703608625597582,0.06615421568055663,8.41828448290047e-07,2.5750596264269e-05,0.00683872187026333,0.03739091993573395,0.272423556316916,27.0,2.9307407407407404,1.413195848820151,1.69,2.09,2.39,3.09,7.49
